ID_ACCOUNT	Felhasználónév
HELP_SCREEN_CAPTURE	Képernyõkép mentése: Nyomtatás (a "Metin2\screenshot" könyvtárban lesz elmentve egy fájlba)
HELP_SHOW_ALL_NAME	Nevek megmutatása: Alt
HELP_SP	Mana pontok (MP)
HELP_SYSTEM_BUTTON	Rendszer billentyûk
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. leltár
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. leltár
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. leltár
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. leltár
INVENTORY_TITLE	Leltár
ITEM_MALL	Tárgy piac
LOAD_ERROR	Az adatfájl megsérült. Installáld újra a klienst. Nyomd meg az ESC gombot.
LOGIN_CONNECT	Csatlakozik
LOGIN_CONNECTING	A szerverhez leszel kapcsolva.
LOGIN_DEFAULT_SERVERADDR	Arlekin Online, Csatorna 1
LOGIN_EXIT	Bezár
LOGIN_REGION_TITLE	Számlakibocsátás helyszíne
LOGIN_SELECT_BUTTON	Választ
LOGIN_SELECT_EXIT	Bezár
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Szervert választ
MALL_PASSWORD_TITLE	Jelszó
MALL_TITLE	Tárgypiac raktár
MARKET_TITLE	Betölt
MARKLIST_REFRESH	Aktualizál
MARKLIST_TITLE	Céh jelet regisztrál
MESSAGE	Ez egy üzenet
MESSENGER_ADD_FRIEND	Barát hozzáadása
MESSENGER_DELETE_FRIEND	Barát törlése
MESSENGER_MOBILE	SMS küldés
MESSENGER_OPEN_GUILD	Céh ablak nyitás
MESSENGER_TITLE	Barát
MESSENGER_USE_GUILD_MOVE_SKILL	Használd a céh mozgatókészséget
MESSENGER_WHISPER	Súgó
MINIMIZE	Minimalizál
MINI_GAME_RUMI_DISCARD_TEXT	Biztonsági mód
MINI_GAME_RUMI_EXIT	Vége
MINI_GAME_RUMI_LBUTTON_DESC	Bal egér a kártya hozzáadásához
MINI_GAME_RUMI_RBUTTON_DESC	Jobb egér a kártya törléséhez
MINI_GAME_RUMI_SCORE	Pontszám
MINI_GAME_RUMI_START_TEXT	Kezdés
MINI_GAME_RUMI_TITLE	Arlekin Online Okey kártyajáték
MOUSEBUTTON_ATTACK	Támad
MOUSEBUTTON_AUTO_ATTACK	Automatikus támadás
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Készség
MUSICLIST_TITLE	Zene választás
NO	Nem
OK	OK
OPTION_ALWAYS_SHOW_NAME	Név
OPTION_ALWAYS_SHOW_NAME_OFF	korlátozott
OPTION_ALWAYS_SHOW_NAME_ON	Mindig
OPTION_BLOCK	Letilt
OPTION_BLOCK_EXCHANGE	Kereskedik
OPTION_BLOCK_FRIEND	Barátok
OPTION_BLOCK_GUILD	Céh
OPTION_BLOCK_PARTY	Csoport
OPTION_BLOCK_PARTY_REQUEST	Kérés
OPTION_BLOCK_WHISPER	Súgni
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Távoli
OPTION_CAMERA_DISTANCE_SHORT	Közeli
OPTION_DELETE_MOBILE_BUTTON	Telefonszám törlés
OPTION_EFFECT	Találati info.
OPTION_FOG	Köd
OPTION_FOG_DENSE	Sok
OPTION_FOG_LIGHT	Kevés
OPTION_FOG_MIDDLE	Közepes
OPTION_INPUT_MOBILE_BUTTON	Mobiltelefonszám megadása
OPTION_MOBILE	Mobiltelefon
OPTION_MUSIC	Zene
OPTION_MUSIC_CHANGE	Zenék
OPTION_MUSIC_DEFAULT_THEMA	Metin2 alap zene
OPTION_NAME_COLOR	Szín név
OPTION_NAME_COLOR_EMPIRE	Birod. Szín
OPTION_NAME_COLOR_NORMAL	Nomális
OPTION_NIGHT_MODE	Éjszaka
OPTION_NIGHT_MODE_OFF	Ki
OPTION_NIGHT_MODE_ON	Be
OPTION_PVPMODE	PvP Mód
OPTION_PVPMODE_FREE	Szabad
OPTION_PVPMODE_FREE_TOOLTIP	Minden játékost megtámadhastz.
OPTION_PVPMODE_GUILD	Céh
OPTION_PVPMODE_GUILD_TOOLTIP	Céhtagokat kivéve minden játékost megtámadhatsz.
OPTION_PVPMODE_PEACE	Béke
OPTION_PVPMODE_PEACE_TOOLTIP	Nem támadhatod meg a saját birodalmad játékosait.
OPTION_PVPMODE_REVENGE	Ellenség
OPTION_PVPMODE_REVENGE_TOOLTIP	Csak eltérõ világképû játékost támadhatsz meg.
OPTION_SALESTEXT	Bolt név
OPTION_SALESTEXT_VIEW_OFF	kitakarni
OPTION_SALESTEXT_VIEW_ON	eltakarni
OPTION_SNOW_MODE	Hó
OPTION_SNOW_MODE_OFF	Ki
OPTION_SNOW_MODE_ON	Be
OPTION_SNOW_TEXTURE_MODE	Havas map
OPTION_SNOW_TEXTURE_MODE_OFF	Ki
OPTION_SNOW_TEXTURE_MODE_ON	Be
OPTION_SOUND	Hatás
OPTION_TARGET_BOARD	Cél menü
OPTION_TARGET_BOARD_NO_VIEW	Bezár
OPTION_TARGET_BOARD_VIEW	Megmutat
OPTION_TILING	Grafika
OPTION_TILING_APPLY	Felhasznál
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opciók
OPTION_VIEW_CHAT	Cset sor
OPTION_VIEW_CHAT_OFF	kitakarni
OPTION_VIEW_CHAT_ON	eltakarni
PARTY_MEMBER_INFO_NAME	Csoporttárs neve
PASSWORD_DESC_1	Írd be a jelszavad
PASSWORD_DESC_2	a raktár megnyitásához.
PASSWORD_DESC_3	Megváltoztattad már a jelszavad?
PASSWORD_DESC_4	Ha még nem, a jelszavad "000000" lesz.
PASSWORD_DESC_5	Változtasd meg a jelszavad a raktárban.
PASSWORD_TITLE	Jelszó mentés
PICK_MONEY_TITLE	Feloszt
PRIVATE_SHOP_CLOSE_BUTTON	Bolt zárás
PRIVATE_SHOP_NAME	Bolt neve
PRIVATE_SHOP_TITLE	Magán bolt nyitás
REFINE_COST	Javítási költségek: 0 Yang
REFINE_MONEY	Nemesítési díj
REFINE_SELECT	Nemesítés
REFINE_TTILE	Javítások
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Újraindít itt
RESTART_TOWN	Újraindít a városban
SAFE_CHANGE_PASSWORD	Jelszó változtatás
SAFE_TITLE	Tárolóhely
SELECT_ATT_GRADE	ERÕ
SELECT_CREATE	Létrehoz
SELECT_DELETE	Töröl
SELECT_DEX_GRADE	ÜGY
SELECT_EMPIRE_NAME	Birodalom neve
SELECT_EXIT	Bezár
SELECT_HP	VIT
SELECT_LEVEL	Szint
SELECT_METIN_STONE_TITLE	Szellemkõ választás
SELECT_NAME	Név
SELECT_NO_GUILD	Nincs céh
SELECT_YES_GUILD	Céh neve: %s
SELECT_PLAYTIME	Játékidõ (perc)
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Cím választás
SHOP_BUY	Vásárol
SHOP_SELL	Elad
SHOP_TITLE	Bolt
SKILL_SUPPORT_TITLE	Standard készségek
STEP	Tisztasági minõség
STEP_SELECT	Tisztasági minõség
STRENGTH	Erõsítés
STRENGTH_SELECT	Szint
SYSTEMOPTION_TITLE	Rendszer opciók
SYSTEM_CHANGE	Karakter csere
SYSTEM_EXIT	Játék befejezés
SYSTEM_HELP	Segítség
SYSTEM_LOGOUT	Kilépés
SYSTEM_MALL	Tárgy piac
SYSTEM_MOVE_CHANNEL	CH váltása
SYSTEM_OPTION	Rendszer opciók
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Cset ablak [Enter]
TASKBAR_DISABLE	Kikapcsolva
TASKBAR_DRAGON_SOUL	Sárkánykõ-alkímia
TASKBAR_EXPAND	Meghosszabbítás
TASKBAR_INVENTORY	Leltár [I]
TASKBAR_MESSENGER	Barátok [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Következõ gyors elérésû mezõ [Shift+Szám, Alt]
TASKBAR_PREV_QUICKSLOT	Elõzõ gyors elérésû mezõ [Shift+Szám]
TASKBAR_SYSTEM	Opciók [ESC]
WHISPER_BAN	Letiltás
WHISPER_NAME	Suttogás
WHISPER_REPORT	
WHISPER_SEND	Küld
YES	Igen
ZONE_MAP	Nagy térkép
ACCE_ABSORB	Kombináció bónusz
ACCE_COMBINE	Kombináció
ACCE_MAIN	Pánt 1
ACCE_RESULT	Eredmény
ACCE_SERVE	Pánt 2
OPTION_MOB_INFO	Szörny információ
OPTION_MOB_INFO_AGGR	Agresszív
OPTION_MOB_INFO_LEVEL	Szint
MESSENGER_ADD_FRIEND	Barát hozzáadása
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s barátként fogadott el téged.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Elfogad?
MESSENGER_DO_YOU_DELETE	Törlés?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Törli a mobilszámát?
MESSENGER_DO_YOU_MOVE	Menni szeretnél?
MESSENGER_EMPTY_LIST	Üres lista
MESSENGER_FAMILY	Család
MESSENGER_FRIEND	Barát
MESSENGER_GUILD	Céh
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Küldje el a kódot a mobiltelefonjára.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Írja be a kódot
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Írja be a mobilszámot az SMS küldéséhez.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Most akarja megadni a mobilszámát?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Írja be mobiltelefonszámát
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Üzenet küldése.
NEW_EXCHANGE_YOU	Én
SASH_ABSORB	Kombináció bónusz
SASH_COMBINE	Kombináció
SASH_MAIN	Pánt 1
SASH_RESULT	Eredmény
SASH_SERVE	Pánt 2
PANOU_GM	Admin panel
OPTION_SALESTEXT_RANGE	Bolt sugara
SHOP_NAME	Bolt neve
SHOP_TIMEOUT	Idõ
SHOP_CREATE	Bolt létrehozása
SHOP_CREATE_PRICE	ár: 
SHOP_CREATE_HOURS	óra
SHOP_CREATE_HOUR	óra
SHOP_CREATE_DAY	nap
SHOP_CREATE_DAYS	nap
SHOP_CREATE_NORMAL	Normál üzlet
SHOP_NAME_EMPTY	Írja be a bolt nevét.
SHOP_TIMEOUT_EMPTY	Válassza ki az idõt.
SHOP_WINDOW_NAME	Üzletek
SHOP_WINDOW_CREATE	Bolt létrehozása
SHOP_GET_YANG	Yang kivétele
SHOP_CHANGE_NAME	Változtasd meg a nevet
SHOP_ENTER_NEW_NAME	Írja be az új nevet
SHOP_CLOSE	Bezárja az üzletet
SHOP_CLOSE_QUEST	Biztos benne, hogy bezárja az üzletet "%s"?
SHOP_MANAGE	PANEL
SHOP_OPEN	Hozzon létre egy boltot
SHOP_EDIT	Szerkesztés
SHOP_REMOVE_ITEM	Visszavon
SHOP_CHANGE_PRICE	Ár megváltoztatása
SHOP_EDIT_SHOP_WINDOW	Szerkesztés
SHOP_EDIT_SHOP_CANCEL	Törlés
SHOP_REMOVE_ITEM_QUEST	Kiszeretné venni az összes tárgyat?
SHOP_SELECT	Választ
SHOP_NOT_EARNED_YANG	Nincs még kivehetõ Yang!
SHOP_YANG_QUEST	SHOP_YANG_QUEST_HIBA
SHOP_INFORMATION	Információ
SHOP_EARNED_YANG	SHOP_EARNED_YANG_HIBA: 
SHOP_SOLD_ITEMS	Eladott tárgyak: 
SHOP_REST_ITEMS	Hátralévõ tárgyak: 
SHOP_TIME_TO_CLOSE	Maradék idõ: 
GIFT_WINDOW_NAME	Magán bolt
GIFT_PREV_PAGE	vissza
GIFT_NEXT_PAGE	elõre
GIFT_FROM	-tól
GIFT_REASON	Indok
GIFT_GET_ALL	Kivesz mindent
GIFT_GET_QUEST	Biztos vagy benne, hogy vissza akar lépni "%s"?
GIFT_GET_QUEST_ALL	Biztos benne, hogy el akarja távolítani az összes tárgyat?
GIFT_MONEY_DESC	Yang az offline áruházából gyûlt össze.
SHOP_SELECT_TIME	Választ
SHOP_SEARCH_TITLE	Keressen az üzletekben
SHOP_SEARCH_CLEAR	Tisztitás
SHOP_SEARCH_BUTTON	Keresés
SHOP_SEARCH_PRICE	Ár:
SHOP_SEARCH_ENTER_ITEM_NAME	Írja be az tárgy nevét
SHOP_SEARCH_EMPTY_ITEM_NAME	Nem találtunk ilyen nevû tárgyat!
QUEST_CATEGORY_00	A játékosok közleményei
QUEST_CATEGORY_01	Szerver bejelentések
QUEST_CATEGORY_02	Más
QUEST_CATEGORY_03	Gyûjtési küldetések
